iter	Logloss
0	0.5478321259
1	0.429941188
2	0.3343556291
3	0.2704662297
4	0.2133992616
5	0.1769960476
6	0.142284196
7	0.1153687274
8	0.09484050676
9	0.07887069999
10	0.06876306402
11	0.05819878576
12	0.04987759408
13	0.04329448099
14	0.03807981442
15	0.03397413233
16	0.03037678465
17	0.02742316533
18	0.02503801351
19	0.02302898423
20	0.02123691053
21	0.01990551549
22	0.01870363154
23	0.01777761537
24	0.01695291013
25	0.01621428602
26	0.01560583811
27	0.01509504602
28	0.01463774733
29	0.01416402376
30	0.01383139093
31	0.01353297947
32	0.01327019162
33	0.01298519819
34	0.01276223481
35	0.01256276287
36	0.01237053411
37	0.01223322179
38	0.01206054795
39	0.01188187529
40	0.0117791346
41	0.01162852875
42	0.01152299898
43	0.01144102609
44	0.01134265544
45	0.0112479896
46	0.01116319111
47	0.01107876541
48	0.01100737897
49	0.01093814362
50	0.01089057746
51	0.01085046024
52	0.01079430821
53	0.0107553018
54	0.0106894706
55	0.01063671366
56	0.01059726483
57	0.01056100817
58	0.01051421318
59	0.01046163567
60	0.01043368427
61	0.01036883308
62	0.01032656941
63	0.01029380595
64	0.01025197658
65	0.01023347035
66	0.01021463929
67	0.01016215088
68	0.0101427816
69	0.01013770305
70	0.01008668606
71	0.01006332025
72	0.01004580201
73	0.0100078618
74	0.009985526953
75	0.009962428875
76	0.009917520719
77	0.00990477295
78	0.009881274504
79	0.009857997067
80	0.009849352547
81	0.009824359364
82	0.009810880806
83	0.009785083694
84	0.009758097289
85	0.009747541249
86	0.009720431697
87	0.009704611473
88	0.009680325845
89	0.00965078764
90	0.009641617484
91	0.009621105927
92	0.009604319013
93	0.009580969668
94	0.009572295236
95	0.009557480559
96	0.009548053476
97	0.009535213565
98	0.009514321337
99	0.00949802768
100	0.00948346284
101	0.009476955267
102	0.009470512575
103	0.009450262333
104	0.009431097669
105	0.009425429646
106	0.00941242403
107	0.009405239352
108	0.009381609927
109	0.009374251147
110	0.009366924768
111	0.009361111948
112	0.009349854107
113	0.00933927573
114	0.009327443726
115	0.009306542133
116	0.009299998904
117	0.009282846651
118	0.009268157821
119	0.009264656253
120	0.009252015769
121	0.009252012605
122	0.009229634612
123	0.009220734542
124	0.009200801817
125	0.009195099666
126	0.00918797533
127	0.009177851282
128	0.009173347783
129	0.009168622434
130	0.009158779864
131	0.00915878458
132	0.009158772084
133	0.00915880528
134	0.009156808885
135	0.009153452256
136	0.009137162634
137	0.009131058289
138	0.009127094906
139	0.00912393736
140	0.009096753338
141	0.009084084529
142	0.009083980831
143	0.00908403238
144	0.00907058679
145	0.00907058679
146	0.009063166167
147	0.009048410184
148	0.009040340933
149	0.009032669047
150	0.009026817943
151	0.009020765293
152	0.009020703868
153	0.00902075391
154	0.00901596784
155	0.00901598825
156	0.009010969973
157	0.009010892521
158	0.009000742613
159	0.00899369881
160	0.008985542457
161	0.008979018019
162	0.00897903006
163	0.008979077091
164	0.008979077091
165	0.008973082898
166	0.008970910142
167	0.008970916046
168	0.008967712596
169	0.008964574616
170	0.008957579082
171	0.008953083671
172	0.008946212828
173	0.008946281662
174	0.008946281662
175	0.008946237187
176	0.008936001371
177	0.008928584958
178	0.008928584958
179	0.008914488157
180	0.008903830322
181	0.008903830322
182	0.008898867334
183	0.008896330934
184	0.008893646345
185	0.008893651025
186	0.008893651025
187	0.008893651025
188	0.008890939109
189	0.008882022383
190	0.008881936398
191	0.008882008979
192	0.008881986821
193	0.008877542043
194	0.008877517058
195	0.008877517058
196	0.008875929583
197	0.008869984189
198	0.008867341909
199	0.008861342848
200	0.008856469441
201	0.008856468435
202	0.008852766034
203	0.008852862356
204	0.008852828234
205	0.008848040352
206	0.008832691767
207	0.008827364107
208	0.008823780695
209	0.008823800094
210	0.008816519709
211	0.008812382686
212	0.008806679587
213	0.008800294465
214	0.008800294465
215	0.00878842111
216	0.008781389475
217	0.008777763279
218	0.008775442368
219	0.008775436264
220	0.008773041665
221	0.008766799045
222	0.008759796163
223	0.00875976537
224	0.008759780632
225	0.008748808816
226	0.008748751682
227	0.008741501042
228	0.008741530213
229	0.008725599964
230	0.008725567324
231	0.008725573144
232	0.008721833038
233	0.008716031833
234	0.008716080062
235	0.00871189296
236	0.008701001988
237	0.008689270526
238	0.008683266765
239	0.008683207739
240	0.008674395884
241	0.008674392296
242	0.00867438696
243	0.008666355162
244	0.008666283689
245	0.008666283689
246	0.008658890641
247	0.008651131103
248	0.008651131103
249	0.008640722336
250	0.008640744689
251	0.008632696255
252	0.008628098349
253	0.008622229791
254	0.008622229791
255	0.008622256015
256	0.008614608366
257	0.008614605326
258	0.008607936131
259	0.008596177182
260	0.008591527451
261	0.008585625993
262	0.00858072735
263	0.008580760479
264	0.008571144491
265	0.008571182646
266	0.008571187582
267	0.008564097864
268	0.008560774632
269	0.008560775925
270	0.008560767785
271	0.008560770577
272	0.008560749051
273	0.008560785387
274	0.008560760485
275	0.008560785605
276	0.008560763466
277	0.008546235853
278	0.008546238233
279	0.008541062343
280	0.008541063489
281	0.008541057114
282	0.008532061454
283	0.008532061454
284	0.008532122485
285	0.008532098964
286	0.008532052016
287	0.008532086835
288	0.008532086835
289	0.008532052449
290	0.008532054284
291	0.00853211224
292	0.008532068692
293	0.008532072093
294	0.008532054345
295	0.008532093031
296	0.008532067704
297	0.008532067704
298	0.00853211258
299	0.00853211258
